Entity,Year,Meningitis,Alzheimer,Parkinson,Nutritional deficiency,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug Use,Tuberculosis,Cardiovascular,Lower respiratory infection,Neonatal,Alchocol,Self_harm,Exposure to forces of nature,Diarrheal,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings
Finland,1990,49,1380,316,9,0,169,192,4,14,155,157,24657,2578,164,237,1631,0,57,48,10337,7,583,213,18
Finland,1991,47,1429,321,8,0,170,186,4,19,163,148,24334,2612,164,245,1617,0,57,56,10386,2,577,217,18
Finland,1992,43,1486,332,7,0,165,194,4,23,163,144,24417,2718,150,256,1575,0,56,62,10537,1,581,226,17
Finland,1993,41,1533,341,7,0,155,187,4,21,165,137,24274,2837,133,278,1524,0,55,67,10592,2,576,232,17
Finland,1994,38,1569,338,7,0,152,185,6,20,168,129,23276,2781,127,313,1475,0,53,72,10445,4,548,233,16
Finland,1995,34,1620,351,8,0,149,179,3,23,178,130,23322,2846,115,362,1466,0,53,81,10591,5,546,241,16
Finland,1996,29,1669,361,8,0,151,178,3,30,192,129,23117,2961,106,455,1414,0,55,90,10659,1,529,261,15
Finland,1997,28,1719,373,8,0,160,162,3,11,197,126,23044,2977,102,520,1390,1,52,99,10749,3,522,267,16
Finland,1998,28,1758,383,8,0,154,146,3,11,194,120,22752,2966,97,604,1341,2,53,104,10800,1,513,271,16
Finland,1999,29,1795,393,9,0,163,163,3,13,200,118,22542,2945,92,660,1314,0,52,109,10813,2,502,278,15
Finland,2000,29,1843,406,9,0,159,157,4,11,205,118,22508,2841,87,694,1291,3,52,115,10883,3,499,288,14
Finland,2001,28,1876,419,9,0,153,158,3,5,208,110,22348,2566,80,709,1244,2,54,116,10975,3,486,301,13
Finland,2002,28,1906,436,9,0,152,143,3,9,212,105,22525,2316,77,715,1182,0,60,118,11136,11,483,315,13
Finland,2003,27,1929,449,8,0,150,129,3,13,220,97,22410,1984,82,738,1144,0,62,121,11285,1,473,327,13
Finland,2004,26,1945,456,9,0,150,140,5,11,238,91,22077,1602,87,755,1122,0,58,131,11408,2,462,345,14
Finland,2005,25,1998,469,9,0,148,127,3,9,253,86,22009,1263,82,767,1097,0,63,125,11534,3,452,366,14
Finland,2006,24,2062,487,9,0,143,125,4,13,266,81,21976,1017,74,770,1085,0,69,124,11693,1,437,392,15
Finland,2007,23,2138,507,9,0,142,125,2,16,286,77,22186,876,74,754,1089,2,79,123,11909,12,439,420,15
Finland,2008,22,2222,527,9,0,137,130,4,9,296,73,22278,759,72,732,1078,0,82,120,12089,3,433,450,15
Finland,2009,21,2294,550,10,0,133,118,2,5,303,70,22449,698,67,706,1068,1,80,118,12340,1,424,480,15
Finland,2010,19,2398,576,11,0,131,109,2,11,299,67,22765,646,63,674,1040,1,75,119,12597,1,424,521,14
Finland,2011,19,2498,597,11,0,125,107,1,8,296,65,22836,615,61,649,993,2,66,115,12785,2,424,562,14
Finland,2012,17,2597,618,11,0,117,87,2,9,290,61,23045,600,58,629,952,1,58,114,13029,5,430,604,13
Finland,2013,17,2701,638,11,0,117,89,1,6,284,57,23214,595,48,603,914,1,54,109,13279,2,436,640,13
Finland,2014,16,2790,657,11,0,113,91,2,5,270,56,23336,596,50,586,860,1,47,104,13454,1,441,673,13
